id	first_name	last_name	position	height	weight
000025667	Pago	Togafau	UNK	5-11	240
000026319	Xavier	Omon	UNK	5-11	227
000025931	Keilen	Dykes	UNK	6-3	305
000025932	Ali	Highsmith	UNK	6-1	230
000025933	Dennis	Keyes	UNK	6-2	203
000025934	Lance	Long	UNK	5-11	186
000025935	Carlton	Medder	UNK	6-5	315
000027220	Naaman	Roosevelt	UNK	6-0in	199
000027371	Barry	Turner	UNK	6-3	265
000026311	Marcus	Henry	UNK	6-4	212
000029770	Joplo	Bartu	OLB	6-2in	230
000029474	Otis	Merrill	UNK	5-11	188
000020514	Michael	Bennett	UNK	5-9	205
000026544	Chase	Daniel	QB	6-0in	225
000026310	Barry	Richardson	UNK	6-6in	319
000026313	Dominique	Barber	UNK	6-0	210
000026312	Thomas	Brown	UNK	5-8	203
